"Category","Description","Nutrient Data Bank Number","Data.Alpha Carotene","Data.Ash","Data.Beta Carotene","Data.Beta Cryptoxanthin","Data.Carbohydrate","Data.Cholesterol","Data.Choline","Data.Fiber","Data.Kilocalories","Data.Lutein and Zeaxanthin","Data.Lycopene","Data.Manganese","Data.Niacin","Data.Pantothenic Acid","Data.Protein","Data.Refuse Percentage","Data.Retinol","Data.Riboflavin","Data.Selenium","Data.Sugar Total","Data.Thiamin","Data.Water","Data.Fat.Monosaturated Fat","Data.Fat.Polysaturated Fat","Data.Fat.Saturated Fat","Data.Fat.Total Lipid","Data.Household Weights.1st Household Weight","Data.Household Weights.1st Household Weight Description","Data.Household Weights.2nd Household Weight","Data.Household Weights.2nd Household Weight Description","Data.Major Minerals.Calcium","Data.Major Minerals.Copper","Data.Major Minerals.Iron","Data.Major Minerals.Magnesium","Data.Major Minerals.Phosphorus","Data.Major Minerals.Potassium","Data.Major Minerals.Sodium","Data.Major Minerals.Zinc","Data.Vitamins.Vitamin A - IU","Data.Vitamins.Vitamin A - RAE","Data.Vitamins.Vitamin B12","Data.Vitamins.Vitamin B6","Data.Vitamins.Vitamin C","Data.Vitamins.Vitamin E","Data.Vitamins.Vitamin K"
"CLAM&TOMATO JUC","CLAM&TOMATO JUC,CND","14187","0","0.85","89","0","10.95","0","0","0.400000006","48","20","2982","0.032","0.231","0.083","0.6","0","0","0.012","0.4","3.309999943","0.021","87.4","0.0","0.0","0.0","0.2","30.2","1 fl oz","166","1 can,  (5.5 oz)","8","0.029","0.15","5","11","89","362","0.08","149","7","0.03","0.061","5.0","0.11","0.0"
"COCOA MIX","COCOA MIX,PDR","14192","0","4.1","0","0","83.73","0","33","3.700000048","398","5","0","0.269","0.586","0.893","6.67","0","1","0.565","5.0","65.55000305","0.096","1.5","1.325","0.114","2.377","4.0","28.35","1 serving,  (3 heaping tsp or 1 envelope)","0","","133","0.286","1.19","83","315","712","504","1.46","4","1","0.35","0.114","0.2","0.19","0.9"
"COCOA MIX","COCOA MIX,PDR,PREP W/ H2O","14194","0","0.65","0","0","11.54","0","5","0.5","55","1","0","0.037","0.081","0.123","0.92","0","0","0.078","0.7","9.029999733","0.013","86.34","0.183","0.016","0.328","0.55","205.77","1 serving, 6 fl oz","34","1 fl oz","21","0.048","0.17","12","43","99","73","0.21","1","0","0.05","0.016","0.0","0.03","0.1"
"COCOA MIX","COCOA MIX,NESTLE,HOT COCOA MIX RICH CHOC W/ MARSHMALLOWS","14195","0","3.02","0","0","75.0","0","0","3.700000048","400","0","0","0.0","0.0","0.0","2.8","0","0","0.0","0.0","65.0","0.0","4.18","0.0","0.0","15.0","15.0","20.2","1 serving, 1 envelope","0","","80","0.0","1.8","0","0","0","800","0.0","10","0","0.0","0.0","0.0","0.0","0.0"
"COCOA MIX","COCOA MIX,NO SUGAR ADDED,PDR","14196","0","6.18","1","0","71.93","0","115","7.5","377","9","0","0.665","1.084","3.826","15.49","0","4","1.4","16.9","37.65000153","0.267","3.4","0.979","0.088","1.777","3.0","19.1","1 envelope Alba,  (.675 oz)","15","1 envelope  Swiss Miss,  (.53 oz)","576","0.73","4.96","208","893","2702","876","3.44","15","4","1.18","0.318","0.0","0.04","0.7"
"COCOA MIX","COCOA MIX,NESTLE,RICH CHOC HOT COCOA MIX","14197","0","3.27","0","0","75.0","0","0","4.0","400","0","0","0.0","0.0","0.0","3.0","0","0","0.0","0.0","60.0","0.0","3.73","0.0","0.0","10.0","15.0","20.2","1 serving, 1 envelope","0","","100","0.0","1.8","0","0","0","850","0.0","11","0","0.0","0.0","0.0","0.0","0.0"
"COFFEE","COFFEE,BREWED FROM GROUNDS,PREP W/ TAP H2O,DECAFFEINATED","14201","0","0.1","0","0","0.0","0","1","0.0","0","0","0","0.027","0.222","0.001","0.1","0","0","0.0","0.1","0.0","0.0","99.3","0.0","0.002","0.002","0.0","237.0","1 cup,  (8 fl oz)","30","1 fl oz","2","0.007","0.05","5","1","54","2","0.02","0","0","0.0","0.0","0.0","0.0","0.1"
"COFFEE","COFFEE,BREWED,ESPRESSO,REST-PREP,DECAFFEINATED","14202","0","0.23","0","0","0.0","0","1","0.0","0","0","0","0.05","5.207","0.028","0.1","0","0","0.177","0.0","0.0","0.001","97.8","0.0","0.092","0.092","0.18","29.6","1 fluid ounce","0","","2","0.05","0.13","80","7","115","14","0.05","0","0","0.0","0.002","0.2","0.0","0.1"
"COFFEE","COFFEE,INST,REG,PDR,HALF THE CAFFEINE","14203","0","8.8","0","0","70.6","0","102","0.0","350","0","0","1.712","28.173","0.097","14.42","0","0","0.074","12.6","0.0","0.008","3.1","0.041","0.196","0.197","0.5","1.0","1 tsp","2","1 packet","141","0.139","4.41","327","303","3535","37","0.35","0","0","0.0","0.029","0.0","0.0","1.9"
"COFFEE&COCOA (MOCHA) PDR","COFFEE&COCOA (MOCHA) PDR,W/WHTNR&LO CAL SWTNR,DECAFFEINATED","14204","0","3.29","2","0","71.4","0","17","4.800000191","257","6","0","0.807","4.655","0.063","9.0","0","0","0.109","4.0","34.97999954","0.021","3.1","0.954","0.349","11.376","13.21","6.4","1 tsp, dry","0","","60","0.56","3.06","122","451","1856","500","1.01","4","0","0.0","0.03","0.0","0.09","1.7"
"COFFEE","COFFEE,BREWED FROM GROUNDS,PREP W/ TAP H2O","14209","0","0.35","0","0","0.0","0","3","0.0","1","0","0","0.023","0.191","0.254","0.12","0","0","0.076","0.0","0.0","0.014","99.39","0.015","0.001","0.002","0.02","237.0","1 cup,  (8 fl oz)","30","1 fl oz","2","0.002","0.01","3","3","49","2","0.02","0","0","0.0","0.001","0.0","0.01","0.1"
"COFFEE","COFFEE,BREWED,ESPRESSO,REST-PREP","14210","0","0.23","0","0","0.0","0","3","0.0","2","0","0","0.05","5.207","0.028","0.12","0","0","0.177","0.0","0.0","0.001","97.8","0.0","0.092","0.092","0.18","29.6","1 fluid ounce","0","","2","0.05","0.13","80","7","115","14","0.05","0","0","0.0","0.002","0.2","0.01","0.1"
"COFFEE","COFFEE,INST,REG,PDR","14214","0","8.8","0","0","41.1","0","102","0.0","241","0","0","1.712","28.173","0.097","12.2","0","0","0.074","12.6","0.0","0.008","3.1","0.041","0.196","0.197","0.5","1.0","1 tsp","2","1 packet","141","0.139","4.41","327","303","3535","37","0.35","0","0","0.0","0.029","0.0","0.0","1.9"
"COFFEE","COFFEE,INST,REG,PREP W/H2O","14215","0","0.17","0","0","0.34","0","1","0.0","2","0","0","0.015","0.236","0.001","0.1","0","0","0.001","0.1","0.0","0.0","99.09","0.0","0.002","0.002","0.0","178.92","1 serving, 6 fl oz","30","1 fl oz","4","0.011","0.04","4","3","30","4","0.01","0","0","0.0","0.0","0.0","0.0","0.0"
"COFFEE","COFFEE,INST,DECAFFEINATED,PDR","14218","0","9.0","0","0","42.6","0","102","0.0","224","0","0","1.222","28.075","0.097","11.6","0","0","1.36","17.3","0.0","0.0","3.2","0.021","0.101","0.101","0.2","1.8","1 tsp,  rounded","0","","140","0.069","3.8","311","286","3501","23","0.11","0","0","0.0","0.0","0.0","0.0","1.9"
"COFFEE","COFFEE,INST,DECAFFEINATED,PDR,PREP W/H2O","14219","0","0.19","0","0","0.43","0","0","0.0","2","0","0","0.012","0.282","0.001","0.12","0","0","0.014","0.2","0.0","0.0","98.93","0.0","0.001","0.001","0.0","179.22","1 serving, 6 fl oz","30","1 fl oz","4","0.01","0.04","4","3","36","4","0.01","0","0","0.0","0.0","0.0","0.0","0.0"
"COFFEE","COFFEE,INST,W/CHICORY,PDR","14222","0","7.5","0","0","74.2","0","0","0.5","351","0","0","1.2","21.667","0.097","9.3","0","0","0.29","9.4","0.0","0.0","4.1","0.015","0.07","0.071","0.2","1.8","1 tsp,  rounded","0","","103","0.05","4.76","213","271","3395","277","0.37","0","0","0.0","0.029","0.0","0.0","0.0"
"COFFEE","COFFEE,INST,W/ CHICORY,PREP W/ H2O","14223","0","0.17","0","0","0.75","0","0","0.0","3","0","0","0.012","0.218","0.001","0.09","0","0","0.003","0.1","0.0","0.0","98.94","0.0","0.001","0.001","0.0","179.22","1 serving, 6 fl oz","30","1 fl oz","4","0.01","0.05","3","3","35","7","0.01","0","0","0.0","0.0","0.0","0.0","0.0"
"COFFEE","COFFEE,INST,W/SUGAR,MOCHA-FLAVOR,PDR","14224","0","3.1","2","0","74.04","0","31","1.899999976","460","4","0","0.445","2.263","0.052","5.29","0","0","0.028","6.2","58.20000076","0.031","1.7","8.934","1.053","4.934","15.87","13.0","1 serving, 2 tbsp","0","","271","0.435","0.0","68","251","1033","317","0.96","5","1","0.45","0.055","0.6","0.0","1.5"
"COFFEE","COFFEE,INST,W/SUGAR,CAPPUCCINO-FLAVOR PDR","14228","0","4.1","0","0","85.94","2","68","1.200000048","406","0","0","0.2","2.262","0.073","3.1","0","0","0.037","4.2","69.16000366","0.111","1.3","1.604","0.241","3.422","5.56","13.0","4 teaspoon,  (1 serving)","0","","133","0.11","0.48","43","183","831","180","0.25","1","0","0.38","0.036","0.5","0.36","1.3"
"COFFEE","COFFEE,INST,W/SUGAR,FRENCH-FLAVOR,PDR","14229","0","4.8","0","0","65.67","0","10","0.0","484","0","0","0.171","5.859","0.012","4.5","0","0","0.02","1.4","41.74000168","0.001","2.4","14.001","2.419","4.997","22.63","13.0","4 teaspoon,  (1 serving)","0","","36","0.022","0.36","26","354","1184","557","0.04","0","0","0.0","0.002","0.0","1.65","6.1"
"COFFEE SUB","COFFEE SUB,CRL GRAIN BEV,PDR","14236","0","5.06","5","0","78.42","0","13","23.29999924","360","194","0","1.1","17.664","1.41","6.01","0","0","0.095","64.1","4.630000114","0.413","7.99","0.356","1.225","0.603","2.52","3.0","1 tsp,  (1 serving)","0","","58","0.208","4.6","244","580","2443","83","0.51","8","0","0.0","0.747","0.0","0.98","1.6"
"COFFEE SUB","COFFEE SUB,CRL GRAIN BEV,PREP W/ H2O","14237","0","0.18","0","0","1.3","0","0","0.400000006","6","3","0","0.019","0.294","0.023","0.1","0","0","0.002","1.1","0.079999998","0.007","98.37","0.006","0.02","0.01","0.04","180.42","1 serving, 6 fl oz","30","1 fl oz","4","0.013","0.08","5","10","41","5","0.01","0","0","0.0","0.012","0.0","0.02","0.0"
"CRANBERRY-APPLE JUC DRK","CRANBERRY-APPLE JUC DRK,BTLD","14238","0","0.26","2","0","15.85","0","1","0.0","63","6","0","0.029","0.0","0.0","0.0","0","0","0.0","0.0","14.5","0.0","83.78","0.014","0.052","0.013","0.11","245.0","1 cup,  (8 fl oz)","31","1 fl oz","3","0.01","0.07","1","2","17","2","0.02","3","0","0.0","0.0","39.5","0.12","0.5"
"CRANBERRY-APRICOT JUC DRK","CRANBERRY-APRICOT JUC DRK,BTLD","14240","0","0.1","0","0","16.2","0","0","0.100000001","64","0","0","0.125","0.12","0.036","0.2","0","0","0.01","0.0","0.0","0.005","83.5","0.0","0.0","0.0","0.0","245.0","1 cup,  (8 fl oz)","31","1 fl oz","9","0.015","0.15","3","5","61","2","0.04","463","23","0.0","0.02","0.0","0.0","0.0"
"CRANBERRY-GRAPE JUC DRK","CRANBERRY-GRAPE JUC DRK,BTLD","14241","0","0.1","0","0","14.0","0","0","0.100000001","56","0","0","0.158","0.12","0.053","0.2","0","0","0.018","0.0","0.0","0.01","85.6","0.004","0.023","0.033","0.1","245.0","1 cup,  (8 fl oz)","31","1 fl oz","8","0.007","0.01","3","4","24","3","0.04","5","0","0.0","0.028","32.0","0.0","0.0"
"CRANBERRY JUC COCKTAIL","CRANBERRY JUC COCKTAIL,BTLD","14242","0","0.2","5","0","13.52","0","1","0.0","54","13","0","0.048","0.041","0.052","0.0","0","0","0.0","0.2","11.86999989","0.0","86.17","0.019","0.059","0.009","0.1","253.0","1 cup,  (8 fl oz)","32","1 fl oz","3","0.01","0.1","1","1","14","2","0.03","8","0","0.0","0.0","42.3","0.22","1.0"
"CRANBERRY JUC COCKTAIL","CRANBERRY JUC COCKTAIL,BTLD,LO CAL,W/CA,SACCHARIN&CORN SWTNR","14243","0","0.18","1","0","4.6","0","0","0.0","19","3","0","0.006","0.004","0.001","0.02","0","0","0.002","0.0","4.590000153","0.0","95.2","0.0","0.0","0.0","0.01","237.0","1 cup,  (8 fl oz)","30","1 fl oz","9","0.01","0.04","2","1","25","3","0.02","2","0","0.0","0.002","32.2","0.05","0.2"
"EGGNOG-FLAVOR MIX","EGGNOG-FLAVOR MIX,PDR,PREP W/ WHL MILK","14245","0","0.69","5","0","14.2","11","0","0.0","95","2","0","0.007","0.112","0.33","2.93","0","26","0.166","3.4","12.65999985","0.04","79.16","0.767","0.186","1.701","3.02","272.0","1 cup,  (8 fl oz)","0","","92","0.022","0.12","10","77","121","55","0.35","94","26","0.39","0.033","0.0","0.06","0.2"
"CITRUS FRUIT JUC DRK","CITRUS FRUIT JUC DRK,FRZ CONC","14262","6","1.1","27","97","40.2","0","2","0.200000003","162","93","0","0.255","0.263","0.214","1.2","0","0","0.034","0.4","28.62999916","0.051","57.4","0.007","0.015","0.007","0.1","35.2","1 fl oz","423","1 can,  (12 fl oz)","25","0.097","3.94","20","36","393","3","0.12","131","7","0.0","0.066","95.3","0.22","0.2"
"CITRUS FRUIT JUC DRK","CITRUS FRUIT JUC DRK,FRZ CONC,PREP W/H2O","14263","2","0.38","8","28","11.42","0","0","0.100000001","46","27","0","0.073","0.075","0.061","0.34","0","0","0.01","0.1","8.130000114","0.014","87.83","0.002","0.004","0.002","0.03","247.82","1 serving, 8 fl oz","31","1 fl oz","9","0.035","1.12","6","10","112","4","0.04","37","2","0.0","0.019","27.1","0.06","0.1"
"FRUIT PUNCH DRK","FRUIT PUNCH DRK,WO/ ADDED NUTR,CND","14264","0","0.05","0","0","11.97","0","0","0.0","48","0","0","0.084","0.021","0.014","0.0","0","0","0.023","0.2","11.28999996","0.022","87.97","0.0","0.0","0.0","0.0","0.0","","0","","8","0.01","0.09","3","3","25","10","0.01","0","0","0.0","0.011","0.4","0.02","0.0"
"FRUIT PUNCH DRK","FRUIT PUNCH DRK,W/ ADDED NUTR,CND","14267","0","0.05","14","4","11.97","0","0","0.200000003","47","2","1","0.084","0.021","0.014","0.0","0","0","0.023","0.2","11.28999996","0.005","87.97","0.002","0.003","0.0","0.0","248.0","1 cup,  (8 fl oz)","31","1 fl oz","8","0.01","0.09","3","3","31","38","0.01","28","2","0.0","0.011","29.6","0.01","0.0"
"FRUIT PUNCH DRK","FRUIT PUNCH DRK,FRZ CONC","14268","0","0.2","0","0","41.4","0","0","0.400000006","162","0","0","0.36","0.074","0.028","0.2","0","0","0.046","0.0","0.0","0.034","58.2","0.003","0.006","0.003","0.0","34.8","1 fl oz","418","1 can,  (12 fl oz)","8","0.09","0.3","6","2","44","8","0.07","39","2","0.0","0.021","155.6","0.0","0.0"
"FRUIT PUNCH DRK","FRUIT PUNCH DRK,FRZ CONC,PREP W/H2O","14269","0","0.13","0","0","11.66","0","0","0.100000001","46","0","0","0.102","0.021","0.008","0.06","0","0","0.013","0.0","0.0","0.01","88.15","0.001","0.002","0.001","0.0","247.02","1 serving, 8 fl oz","31","1 fl oz","4","0.032","0.09","2","1","13","5","0.02","11","1","0.0","0.006","43.8","0.0","0.0"
"GRAPE DRINK","GRAPE DRINK,CANNED","14277","0","0.06","0","0","15.75","0","0","0.0","61","4","0","0.027","0.01","0.003","0.0","0","0","0.004","0.1","13.06000042","0.001","84.2","0.0","0.0","0.0","0.0","250.0","1 cup,  (8 fl oz)","31","1 fl oz","52","0.013","0.07","1","0","12","16","0.12","0","0","0.0","0.002","31.4","0.0","0.0"
"GRAPE JUICE DRINK","GRAPE JUICE DRINK,CANNED","14282","0","0.12","3","0","14.55","0","0","0.100000001","57","19","0","0.2","0.142","0.023","0.0","0","0","0.354","0.1","14.10999966","0.225","85.3","0.0","0.0","0.0","0.0","250.0","1 cup,  (8 fl oz)","31","1 fl oz","7","0.022","0.13","6","6","33","9","0.03","4","0","0.0","0.035","26.5","0.0","0.2"
"LEMONADE","LEMONADE,POWDER","14287","0","0.49","1","8","94.44","0","0","0.0","389","4","0","0.0","0.13","0.06","0.0","0","0","0.025","0.6","94.44000244","0.015","0.3","0.0","0.0","0.0","0.0","18.0","1 serving","218","1 cup","242","0.032","0.5","1","126","120","0","0.14","9","1","0.0","0.026","33.3","0.14","0.0"
"LEMONADE","LEMONADE,PDR,PREP W/H2O","14288","0","0.14","0","1","9.72","0","0","0.0","37","0","0","0.0","0.013","0.006","0.0","0","0","0.003","0.1","9.720000267","0.002","89.65","0.0","0.0","0.0","0.0","264.2","1 serving, 1 cup 8 fl oz","33","1 fl oz","28","0.012","0.05","1","13","13","3","0.02","1","0","0.0","0.003","3.4","0.01","0.0"
"LEMONADE","LEMONADE,LO CAL,W/ASPRT,PDR","14289","0","10.6","0","0","83.7","0","0","0.100000001","332","0","0","0.11","0.0","0.0","3.6","0","0","0.037","0.6","0.0","0.007","1.8","0.01","0.09","0.039","0.3","1.95","1 serving","0","","3098","0.11","5.7","14","1554","11","10","0.16","0","0","0.0","0.0","394.0","0.0","0.0"
"LEMONADE","LEMONADE,LO CAL,W/ASPRT,PDR,PREP W/H2O","14290","0","0.19","0","0","0.68","0","0","0.0","3","0","0","0.001","0.0","0.0","0.03","0","0","0.0","0.0","0.0","0.0","99.1","0.0","0.001","0.0","0.0","238.51","1 serving, 1 cup 8 fl oz","30","1 fl oz","28","0.011","0.05","1","13","1","4","0.01","0","0","0.0","0.0","3.2","0.0","0.0"
"LEMONADE","LEMONADE,FRZ CONC,WHITE","14292","0","0.2","1","6","47.0","0","2","0.200000003","181","4","0","0.02","0.074","0.057","0.3","0","0","0.096","0.4","45.02999878","0.026","52.3","0.008","0.059","0.025","0.2","36.5","1 fl oz","438","1 can,  (12 fl oz)","7","0.06","0.72","5","9","67","4","0.08","7","0","0.0","0.025","17.7","0.04","0.0"
"LEMONADE","LEMONADE,FRZ CONC,WHITE,PREP W/H2O","14293","0","0.12","0","1","10.42","0","0","0.0","40","1","0","0.005","0.016","0.013","0.07","0","0","0.021","0.1","9.979999542","0.006","89.35","0.002","0.013","0.006","0.04","246.96","1 serving, 1 cup 8 fl oz","31","1 fl oz","4","0.021","0.16","2","2","15","4","0.02","1","0","0.0","0.006","3.9","0.01","0.0"
"LEMONADE-FLAVOR DRK","LEMONADE-FLAVOR DRK,PDR","14296","0","0.3","0","0","94.44","0","0","0.0","389","0","0","0.002","0.0","0.0","0.1","0","0","0.011","0.4","94.44000244","0.002","0.6","0.0","0.0","0.003","0.0","18.0","1 serving","0","","83","0.045","0.11","1","9","3","139","0.05","0","0","0.0","0.0","33.3","0.0","0.0"
"LEMONADE-FLAVOR DRK","LEMONADE-FLAVOR DRK,PDR,PREP W/H2O","14297","0","0.11","0","0","6.68","0","0","0.0","26","0","0","0.0","0.0","0.0","0.01","0","0","0.001","0.0","6.679999828","0.0","92.88","0.0","0.0","0.0","0.0","254.56","1 serving, 1 cup 8 fl oz","32","1 fl oz","9","0.012","0.01","1","1","1","13","0.01","0","0","0.0","0.0","2.4","0.0","0.0"
"LIMEADE","LIMEADE,FRZ CONC","14302","0","0.22","0","0","62.32","0","2","0.0","247","0","0","0.005","0.038","0.053","0.0","0","0","0.013","0.3","59.95999908","0.008","37.46","0.0","0.0","0.0","0.0","36.4","1 fl oz","437","1 can,  (12 fl oz)","0","0.039","0.0","5","3","43","0","0.04","0","0","0.0","0.017","14.1","0.0","0.0"
"LIMEADE","LIMEADE,FRZ CONC,PREP W/H2O","14303","0","0.13","0","0","13.79","0","0","0.0","52","0","0","0.001","0.009","0.012","0.0","0","0","0.003","0.1","13.27000046","0.002","86.08","0.0","0.0","0.0","0.0","246.83","1 serving, 1 cup 8 fl oz","31","1 fl oz","2","0.016","0.0","2","1","10","3","0.01","0","0","0.0","0.004","3.1","0.0","0.0"
"No Category","MALT BEVERAGE","14305","0","0.12","0","0","8.05","0","10","0.0","37","0","0","0.013","1.113","0.037","0.21","0","0","0.048","1.2","8.050000191","0.016","91.15","0.015","0.056","0.024","0.12","237.0","1 cup","30","1 fl oz","7","0.008","0.06","7","16","8","13","0.02","2","0","0.02","0.027","0.5","0.0","0.0"
"MALTED DRK MIX","MALTED DRK MIX,NAT,W/ ADDED NUTR,PDR","14309","0","2.57","4","0","83.59","0","32","1.899999976","372","0","0","0.324","42.327","0.955","9.41","0","3172","3.598","7.0","63.38000107","4.233","3.1","0.343","0.169","0.679","1.33","21.0","1 individual,  serving (4-5 heaping tsp or 1 envelope)","0","","376","0.687","12.7","63","376","591","259","0.73","10582","3172","0.48","4.233","127.0","0.06","0.9"
"MALTED DRK MIX","MALTED DRK MIX,NAT,W/ ADDED NUTR,PDR,PREP W/ WHL MILK","14310","0","0.97","5","0","10.67","11","0","0.0","86","0","0","0.037","3.993","0.353","3.67","0","280","0.455","4.2","8.369999886","0.277","81.49","0.802","0.213","1.83","3.21","265.0","1 cup,  (8 fl oz)","0","","123","0.044","1.36","15","107","200","72","0.41","942","281","0.4","0.325","10.4","0.0","0.4"
"MALTED DRK MIX","MALTED DRK MIX,NAT,PDR","14311","0","2.98","11","0","71.21","24","59","0.100000001","428","7","0","0.237","5.246","0.624","14.29","0","62","0.92","16.4","47.61999893","0.505","2.0","2.157","1.429","4.762","9.52","21.0","1 serving,  (3 heaping tsp or 1 envelope)","0","","298","0.2","0.7","93","358","758","405","0.99","224","63","0.8","0.41","2.9","0.36","5.4"
"MALTED DRK MIX","MALTED DRK MIX,NAT,PDR,PREP W/ WHL MILK","14312","0","0.89","6","0","10.23","12","0","0.100000001","88","0","0","0.021","0.519","0.402","3.86","0","32","0.242","5.2","9.56000042","0.081","81.4","0.903","0.276","2.039","3.62","265.0","1 cup,  (8 fl oz)","0","","117","0.037","0.09","17","106","183","79","0.43","117","33","0.46","0.066","0.2","0.0","0.5"
"MALTED DRK MIX","MALTED DRK MIX,CHOC,W/ ADDED NUTR,PDR","14315","0","4.6","0","0","84.6","0","6","4.699999809","389","11","0","0.627","50.937","0.683","4.9","0","3929","4.11","3.3","70.55999756","3.052","2.5","0.951","0.325","1.964","3.4","78.0","1 cup","21","1 serving,  (3 heaping tsp or 1 envelope)","1881","0.634","17.38","96","401","1193","594","1.07","13098","3929","0.03","4.366","150.1","0.03","0.7"
"MALTED DRK MIX","MALTED DRK MIX,CHOC,W/ ADDED NUTR,PDR,PREP W/ WHL MILK","14316","0","1.0","5","0","10.92","10","0","0.400000006","84","1","0","0.053","4.182","0.388","3.36","0","341","0.497","4.7","10.48999977","0.285","81.44","0.82","0.205","1.868","3.26","265.0","1 cup,  (8 fl oz)","0","","128","0.072","1.42","17","109","218","87","0.44","1144","341","0.43","0.383","12.0","0.06","0.3"
"MALTED DRK MIX","MALTED DRK MIX,CHOC,PDR","14317","0","1.9","5","0","86.94","1","27","4.800000191","411","2","0","0.0","2.003","0.316","5.1","0","32","0.2","6.9","66.66999817","0.173","1.3","1.167","0.669","2.381","4.76","21.0","1 serving,  (3 heaping tsp or 1 envelope)","0","","60","0.2","2.28","70","175","618","190","0.8","117","33","0.42","0.156","1.5","0.17","2.5"
"MALTED DRK MIX","MALTED DRK MIX,CHOC,PDR,PREP W/ WHL MILK","14318","0","0.79","5","0","11.2","10","0","0.5","85","1","0","0.08","0.259","0.354","3.37","0","26","0.184","5.4","6.679999828","0.054","81.34","0.827","0.208","1.883","3.29","265.0","1 cup,  (8 fl oz)","0","","98","0.037","0.21","15","91","172","60","0.41","95","26","0.42","0.046","0.1","0.06","0.3"
"ORANGE DRK","ORANGE DRK,CND,W/ ADDED VIT C","14323","0","0.11","1","7","12.34","0","0","0.0","49","9","0","0.011","0.011","0.018","0.0","0","0","0.0","0.0","11.02999973","0.0","87.47","0.002","0.003","0.002","0.07","248.0","1 cup,  (8 fl oz)","31","1 fl oz","5","0.0","0.04","2","1","18","3","0.02","8","1","0.0","0.0","57.3","0.02","0.0"
"ORANGE&APRICOT JUC DRK","ORANGE&APRICOT JUC DRK,CND","14327","2","0.2","79","60","12.7","0","0","0.100000001","51","47","0","0.009","0.2","0.068","0.3","0","0","0.01","0.1","12.06000042","0.02","86.7","0.031","0.022","0.01","0.1","250.0","1 cup,  (8 fl oz)","31","1 fl oz","5","0.032","0.1","5","8","80","2","0.04","183","9","0.0","0.037","20.0","0.11","0.1"
"PINEAPPLE&GRAPEFRUIT JUC DRK","PINEAPPLE&GRAPEFRUIT JUC DRK,CND","14334","0","0.2","1","0","11.6","0","0","0.100000001","47","1","0","0.413","0.267","0.053","0.2","0","0","0.016","0.1","11.52000046","0.03","87.9","0.01","0.028","0.006","0.1","250.0","1 cup,  (8 fl oz)","31","1 fl oz","7","0.045","0.31","6","6","61","14","0.06","2","0","0.0","0.042","46.0","0.01","0.1"
"PINEAPPLE&ORANGE JUC DRK","PINEAPPLE&ORANGE JUC DRK,CND","14341","0","0.1","4","15","11.8","0","0","0.100000001","50","12","0","0.361","0.207","0.057","1.3","0","0","0.019","0.1","11.59000015","0.03","86.9","0.0","0.0","0.0","0.0","250.0","1 cup,  (8 fl oz)","31","1 fl oz","5","0.041","0.27","6","4","46","3","0.06","19","1","0.0","0.047","22.5","0.03","0.1"
"SHAKE","SHAKE,FAST FOOD,CHOCOLATE","14346","0","0.9","5","0","20.5","13","26","1.899999976","127","1","0","0.039","0.161","0.39","3.4","0","25","0.245","1.7","18.60000038","0.058","71.5","1.075","0.14","2.313","3.7","23.52","1 fl oz","282","1 small,  12 fl oz","113","0.065","0.31","17","102","200","97","0.41","93","26","0.34","0.05","0.4","0.11","1.5"
"SHAKE","SHAKE,FAST FOOD,VANILLA","14347","0","0.86","0","0","19.59","23","27","0.899999976","148","0","0","0.035","0.213","0.562","3.37","0","91","0.66","3.2","13.63000011","0.026","69.65","1.785","0.316","3.962","6.52","166.0","1 cup,  (8 fl oz)","21","1 fl oz","115","0.103","0.46","13","98","166","81","0.57","304","91","0.22","0.06","0.0","0.25","0.4"
"STRAWBERRY-FLAVOR BEV MIX","STRAWBERRY-FLAVOR BEV MIX,PDR","14350","0","0.2","0","0","99.1","0","0","0.0","389","0","0","0.0","0.073","0.001","0.1","0","0","0.11","0.5","95.44999695","0.003","0.4","0.0","0.0","0.0","0.2","22.0","1 serving,  (2-3 heaping tsp)","0","","4","0.0","0.44","1","5","6","38","0.0","0","0","0.0","0.002","0.3","0.0","0.0"
"STRAWBERRY-FLAVOR BEV MIX","STRAWBERRY-FLAVOR BEV MIX,PDR,PREP W/ WHL MILK","14351","0","0.7","0","0","12.3","12","0","0.0","88","0","0","0.002","0.083","0.288","3.0","0","26","0.158","1.8","0.0","0.035","80.9","0.886","0.114","1.91","3.1","266.0","1 cup,  (8 fl oz)","0","","110","0.009","0.08","12","86","139","48","0.35","116","26","0.33","0.039","0.9","0.0","0.0"
"TEA","TEA,BREWED,PREP W/TAP H2O,DECAFFEINATED","14352","0","0.0","0","0","0.3","0","0","0.0","1","0","0","0.219","0.0","0.011","0.0","0","0","0.014","0.0","0.0","0.0","99.7","0.001","0.004","0.002","0.0","29.6","1 fl oz","178","6 fl oz","0","0.01","0.02","3","1","37","3","0.02","0","0","0.0","0.0","0.0","0.0","0.0"
"TEA","TEA,INST,UNSWTND,PDR,DECAFFEINATED","14353","0","16.04","0","0","58.66","0","118","8.5","315","0","0","133.0","10.8","4.53","20.21","0","0","0.985","5.3","5.53000021","0.0","5.09","0.0","0.0","0.0","0.0","0.7","1 serving,  2 tsp","0","","118","0.55","2.26","272","239","6040","72","1.69","0","0","0.0","0.356","0.0","0.0","0.0"
